id,title,address,price,url
1,【合租】孙河 康营家园餼麣期 龤室主卧,康营家园餼麣期,餼鸺驋驋,https://legoclick.58.com/cpaclick?target=szqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nvrjE3PH9vP10LPWDzXaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDYPjmLPjTOnWNLn1bLPTDKn1m3Pj9drjmLP10vnHcKPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWEKnE7AEzdkmzd_pgPYUARhITDQTHDKTiYQTEDzPjbQnHN1nWTvPHN3rj9KnTDQnHczrjCQPHTkg1cknjTKnE7hPWbOuAEQnad6rjIBsHEOuWmVmhFhuaYYn1bdP10dnyDOnH0KnHT3PWNQnH9YnWnYnHDLPHcOP9DQnj9vPHDQrjEznW9zPjNdnjEkTEDYnW9zTHDKni3kTEDVTEDKpZwY0ZnlszqBpB3draOWUvYf0A-80A7Guvq8uL-ds1qVpyOk0h-WuHYQPHTkg1cknjThNDINiNEqnAE1nHDQuWmVnjTknaYQnWEvsyckuWEVuANLmHndrAD3nHP-FbP_pyPoiNEqrEDKPWT8nHc8PH98rH9KnTDkTHD8nTDYnW9zTgVqTHDknjTvTHDknjT3PHDKnyPhmHNzn1cVmWNOPBYYPjP-sycLuH9VnHTdP1DQPj7bnyDLTEDkTEDKPhD3nhEvPH9YPW0kPjDvPE&tid=1cfa5232-b596-443e-b7e8-10571141d1a7
2,【合租】回龙观 三合庄园 鑶室次卧,三合庄园,餼麣驋驋,https://legoclick.58.com/cpaclick?target=szqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nvnHD3PWbknjEQnjcLXaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDdrHN1n1NOPHcvP1mknEDKn1mQnH9vrHTkPjDknW0KPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWEKn97AEzdkmzd_pgPYUARhITDQTHDKTiYQTEDQnjmznHbvrjckPWD3nWmkPj9kTHTKnHDznW9lnHNkn7tznjTkTHDKP1-WuAn3rHcVmhN1uiYYPjRBsH-WnhNVmWbLPhF-mW0OuWEYTHDkPWcdrHEdrjm1nH9znWNYnj9KnHTvnWNOPjN3PWcdrHNkPHDdn9DKPjc3n9DQTHD8nTDKsEDKTy6YIZK1rBtfmhC8PH98mvqVsLKGUMK6pyIfUhIOIit4Uy-80ZFGmvNqnHNkn7tznjTkF-KZRD-D5HKbn1DQnymvsHTknjTVnHcYPBdBnAmYsyw-PvD1PH66rjD1uiujUA-WpY-D5HbKTHmksWDzsWN3sWb3THTKnTDQsWTKPjc3n97exEDQnjTkP9DQnjTkrjNQTHmknvDQmWTLsHT3m19VPAndridBnWEvsHm3nHm1nH9YP1Ibm9DKnTDKTyF-nj-bPhE3mHcOn1-BPAm&tid=603a1b07-08c8-4c59-b246-6816318477db
3,【合租】后沙峪 吉祥花园 鑶室次卧,吉祥花园,餼麣驋驋,https://legoclick.58.com/cpaclick?target=szqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nzPWndnjm1nHbdrH0zXaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDYPjmLPjT3rHN1nWbdnTDKn1cvn1NkPWnQrHNOP1cKPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWEKnk7AEzdkmzd_pgPYUARhITDQTHDKTiYQTEDzPjbQnHNQPjmdn1nOnjEKnTDQnHczrjCQPHTkg1cknjTKnEDzn16hPW-WuadbnhcLsHEQuWmVrAmzuiYzPjDkmWFBPyDvuHDKnWNYPW9LPHDQrjcvPjE3THcdPjm3P1NQnH9QnWDkPTDKPjc3n9DQTHD8nTDKsEDKTy6YIZK1rBtfmhC8PH98mvqVsLKGUMK6pyIfUhIOIit4Uy-80ZFGmvNqnHNkn7tznjTkF-KZRD-D5HKbn1DQnymvsHTknjTVnHcYPBdBnAmYsyw-PvD1PH66rjD1uiujUA-WpY-D5HbKTHmksWDzsWN3sWb3THTKnTDQsWTKPjc3n97exEDQnjTkP9DQnjTkrjNQTH0OrjPbPH9YsHEzPvDVPjc1raY3nHcdsHcYPjP6uAw-uHuhuEDKnTDKTym3nvnYP1IhrHnQmyR6mWc&tid=7983d584-427a-4238-8125-2443addee6fe
4,【合租】中央别墅区 空港吉祥花园 龤室主卧,空港吉祥花园,餼龥驋驋,https://legoclick.58.com/cpaclick?target=pZwY0ZnlszqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nYPHbYnjEzPWmvPH0kXaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDYPjmLPjT3rHN1nWbdnTDKn1EdrHEkPjcvPWmdP1TKPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWEKPT7AEzdkmzd_pgPYUARhITDQTHDKTiYQTEDzPjbQnHNQPjmdn1nOnjEKnTDQnHczrjCQPHTkg1cknjTKnE7WnADOPjIWraY3uHRWsHEQmvcVryFWmBd-nAEYn1IbmH--uynKnWEOnHDdnHELP1NvPHmkTHcYrHDQPHDYP101PHTYrTDKPjc3n9DQTHD8nTDKsEDKTy6YIZK1rBtfmhC8PH98mvqVsLKGUMK6pyIfUhIOIit4Uy-80ZFGmvNqnHNkn7tznjTkF-KZRD-D5HKbn1DQnymvsHTknjTVnHcYPBdBnAmYsyw-PvD1PH66rjD1uiujUA-WpY-D5HbKTHmksWDzsWN3sWb3THTKnTDQsWTKPjc3n97exEDQnjTkP9DQnjTkrjNQTH6bPH9On1TQsynkP1bVPAubuBYOn1FWsHPbuWTdm1ndPHFhuEDKnTDKTHN3n1w6nWTLrjPWPjKbPhn&tid=8d589301-c079-4fdf-932c-3df05c3552fe
5,【整租】宋庄 乐乎城市青年社区 餼室餼厅,乐乎城市青年社区,餼龥驋驋,https://legoclick.58.com/cpaclick?target=szqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nLrj0vnH0YP1czn1nOXaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDYnWcLrHDdnjEQnHc3nkDKn103P1mQP1ELnWc1n1bKPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWEKPE7AEzdkmzd_pgPYUARhITDQTHDKTiYQTEDzPjbQn1EYPHEYP1NLrjEKnTDQnHczrjCQPHTkg1cknjTKnE7WmymkmyPhnaYQrH0LsHEOrHnVmhEOmBd6PWNzmhn3PhNkmyNKnHDznjD3n19YPjnQrj0dPW9vPTDQnHcknH91rjEYnW9On1bzPWEQTEDYnW9zTHDKni3kTEDVTEDKpZwY0ZnlszqBpB3draOWUvYf0A-80A7Guvq8uL-ds1qVpyOk0h-WuHYQPHTkg1cknjThNDINiNEqnAE1nHDQuWmVnjTknaYQnWEvsyckuWEVuANLmHndrAD3nHP-FbP_pyPoiNEqrEDKPWT8nHc8PH98rH9KnTDkTHD8nTDYnW9zTgVqTHDknjTvTHDknjT3PHDKn1w-myEkuhnVPHD1mBYYn1whsy7buH9VmHIhnjTLPWI6rjDQTEDkTEDKrHEzuWbYPAnQmHELPWmdmk&tid=34ead0fc-513b-434f-ade8-a7f00767a811
6,【合租】沙河 五福家园 龤室主卧,五福家园,餼龥餼餼,https://legoclick.58.com/cpaclick?target=szqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nLrj0dn1DzPjEkn1NdXaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDvnW9LPHcQP1c3nHT1PEDKn103P1N1nHcYPjT1PHNKPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWNKP97AEzdkmzd_pgPYUARhITDQTHDKTiYQTEDQnHDvPWnOPjNQPjbYnWnznjmYTHTKnHDznW9lnHNkn7tznjTkTHDKuHcdPW91mWNVmHm3mBYYnHN1sHbvPAnVPjNLuhw6PjELnjN3THDQnWTQPHNdrjbQnjEvPjEkrHmKnHDznjDdPHN3rHTdrjNQnj9YrTDKPjc3n9DQTHD8nTDKsEDKTy6YIZK1rBtfmhC8PH98mvqVsLKGUMK6pyIfUhIOIit4Uy-80ZFGmvNqnHNkn7tznjTkF-KZRD-D5HKbn1DQnymvsHTknjTVnHcYPBdBnAmYsyw-PvD1PH66rjD1uiujUA-WpY-D5HbKTHmksWDzsWN3sWb3THTKnTDQsWTKPjc3n97exEDQnjTkP9DQnjTkrjNQTHFWn17hPADQsH6BnjTVPjc1radBuHELsHnvuHE1mymzPvNdP9DKnTDKTyNLnAnQuANLPhD1m1Evn1n&tid=2c31f4a1-8b00-4238-be47-36e43af27e56
7,【合租】武夷花园 紫荆园 龤室次卧,紫荆园,餼麣齤驋,https://legoclick.58.com/cpaclick?target=szqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nLrj01PWnQPWc3Pjc1XaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDYPjmLPjT3P1mYnH9LrTDKn103P1nvn1DvnW9YnWnKPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWNKPk7AEzdkmzd_pgPYUARhITDQTHDKTiYQTEDzPjbQnHNzrHNznWbOPWTKnTDQnHczrjCQPHTkg1cknjTKnEDvnhuBPvELuiY3n1whsHE3P1bVryE3PiY3uyFWPhcvrjF-ujnKnHDznjDknjNQnWDQn1nLP1c3nTDQnHcknHTkPHDznjNkPjmzP1ckTEDYnW9zTHDKni3kTEDVTEDKpZwY0ZnlszqBpB3draOWUvYf0A-80A7Guvq8uL-ds1qVpyOk0h-WuHYQPHTkg1cknjThNDINiNEqnAE1nHDQuWmVnjTknaYQnWEvsyckuWEVuANLmHndrAD3nHP-FbP_pyPoiNEqrEDKPWT8nHc8PH98rH9KnTDkTHD8nTDYnW9zTgVqTHDknjTvTHDknjT3PHDKnjwhPvN1mWbVP1bvmiYYujIWsH6BmWNVmhcvPyDOuj9LuH-WTEDkTEDKPH9OuHnLuHbvn1-6nvNdmk&tid=04f7e3b9-796a-4d7c-8bb5-bb65a9d87e9c
8,【合租】九棵树 蓝调沙龙 龤室主卧,蓝调沙龙,餼麣龥驋,https://legoclick.58.com/cpaclick?target=szqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nLPHnznjnknWEzPjmdXaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDvnjNzPHN1PWbvPWDdPkDKn10dn1ckn1TzPjcYPWNKPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWNKrT7AEzdkmzd_pgPYUARhITDQTHDKTiYQTEDQnj03rHbYP1mdnjE3rH9LPWE3THTKnHDznW9lnHNkn7tznjTkTHDKmHnOPjPWn1cVuHw6PiYYnWcdsH93rHnVPAmzuj9YrHNkm1TkTHDQnj9OnjmOnH9knjc1nHDQPWbKnHDkrjbkPWbQP1bYP103PHcQP9DKPjc3n9DQTHD8nTDKsEDKTy6YIZK1rBtfmhC8PH98mvqVsLKGUMK6pyIfUhIOIit4Uy-80ZFGmvNqnHNkn7tznjTkF-KZRD-D5HKbn1DQnymvsHTknjTVnHcYPBdBnAmYsyw-PvD1PH66rjD1uiujUA-WpY-D5HbKTHmksWDzsWN3sWb3THTKnTDQsWTKPjc3n97exEDQnjTkP9DQnjTkrjNQTHc3nAmOuynLsynvPjEVPj9dnBdBrHKbsHNznvRbP1IWPhDQrTDKnTDKTH7hm1D1PynLn1mYuhubnH9&tid=280f9ec7-c644-4852-b90d-523ed77c6a18
9,【合租】黄村 康盛园 龤室主卧,康盛园,餼龥驋驋,https://legoclick.58.com/cpaclick?target=szqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nLP1b3njTzP1nLrHEkXaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDvnWTLrHbvn19YnWTvPEDKn10LrH9knjcLn10OPjTKPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWNKrE7AEzdkmzd_pgPYUARhITDQTHDKTiYQTEDQnHT1PHb3rjn1njcOn1mQPWmYTHTKnHDznW9lnHNkn7tznjTkTHDKnhDOryF-ujEVrynvPzYYmHb3syDOuHEVuhD1PymzmHIBPHmvTHDQnH0vnWc1njE3njbOPHN1nW9KnHDQP1mznWnkPj0YP1TYPj9vPTDKPjc3n9DQTHD8nTDKsEDKTy6YIZK1rBtfmhC8PH98mvqVsLKGUMK6pyIfUhIOIit4Uy-80ZFGmvNqnHNkn7tznjTkF-KZRD-D5HKbn1DQnymvsHTknjTVnHcYPBdBnAmYsyw-PvD1PH66rjD1uiujUA-WpY-D5HbKTHmksWDzsWN3sWb3THTKnTDQsWTKPjc3n97exEDQnjTkP9DQnjTkrjNQTHbQuWK6Py7BsHRbrHEVPANLnaYOPjcLsHmduAnkrjn3ujckuEDKnTDKTHF-uj--uWwbujPhmymkujD&tid=91f0a5ab-5d94-4e70-9427-65dc0838d20e
10,【合租】宣武周边 手帕口西一巷 龤室次卧,手帕口西一巷,餼鸺鸺驋,https://legoclick.58.com/cpaclick?target=szqBpB3draOWUvYf0A-80A7Guvq8uL-ds1nLrj0YrH9zPWbOPjDzXaO1pZwVUT7bsHnOn1FhnHc3sH0OrHEVPAcOPid6Pj6bsy7bnyE1rj0vnAEQmEDdrjDdrHm1PWcYrHndrTDKn103P1EOrjcvrHbYnHcKPWTknjTkTHmknjTknTDLnjD1PTDQTHDdPHmkrHcvrH03nWNKnHTKwbnV0AnVUA-1IAQ-uMEKnEDQTEDVnEDKnWNYP1N3PHm1PWbYPWT3THTKnHDznW9lnHNkn7tznjTkTHDKrHnOujTkPjNVP1IWPzYYuywhsHbLPWNVrHw-rHnzuymvPv7WTHDQnWTQPjELrjEkPjTvP1nzrjDKnHDznjDYPj03PjTQPHNkn1nvnTDKPjc3n9DQTHD8nTDKsEDKTy6YIZK1rBtfmhC8PH98mvqVsLKGUMK6pyIfUhIOIit4Uy-80ZFGmvNqnHNkn7tznjTkF-KZRD-D5HKbn1DQnymvsHTknjTVnHcYPBdBnAmYsyw-PvD1PH66rjD1uiujUA-WpY-D5HbKTHmksWDzsWN3sWb3THTKnTDQsWTKPjc3n97exEDQnjTkP9DQnjTkrjNQTHcOnWDvnjELsyN1PWbVPj7hPiYOmy7Wsyw6nWcYujmvnhcLPTDKnTDKTH01njE1uAmvm1c3PHELPHc&tid=29216047-e369-41f5-9aac-da224d662b74
